NO.1,NO.2,NO.3,NDX
153.705,165.848,159.337,165.848
152.871,164.949,158.598,164.949
154.568,166.78,160.517,166.78
160.569,173.254,167.061,173.254
176.485,190.428,184.16,190.428
200.493,216.332,209.593,216.332
213.178,230.02,222.17,230.02
206.683,223.012,214.484,223.012
204.319,220.461,212.35,220.461
201.52,217.44,209.489,217.44
197.065,212.633,204.751,212.633
195.791,211.258,203.443,211.258
194.911,210.31,201.942,210.31
192.869,208.107,199.916,208.107
193.026,208.276,200.24,208.276
202.951,218.984,211.44,218.984
228.523,246.577,239.165,246.577
233.4,251.84,245.175,251.84
234.029,252.518,245.957,252.518
230.982,249.231,242.675,249.231
225.17,242.959,236.011,242.959
213.865,230.76,223.738,230.76
202.548,218.549,211.664,218.549
200.043,215.847,208.885,215.847
200.063,215.868,208.883,215.868
200.341,216.168,209.359,216.168
204.171,220.3,213.597,220.3
210.254,226.864,220.461,226.864
225.761,243.596,237.208,243.596
250.261,270.033,263.209,270.033
258.592,279.022,271.424,279.022
247.371,266.913,258.643,266.913
239.185,258.082,249.818,258.082
234.215,252.719,243.903,252.719
226.698,244.608,235.61,244.608
219.772,237.134,228.43,237.134
214.634,231.591,222.84,231.591
211.079,227.754,218.913,227.754
212.222,228.988,220.267,228.988
219.031,236.334,228.173,236.334
243.513,262.75,254.457,262.75
242.869,262.056,254.193,262.056
243.207,262.421,254.834,262.421
240.718,259.736,253.161,259.736
229.232,247.342,240.726,247.342
215.409,232.426,225.693,232.426
202.476,218.473,211.903,218.473
200.368,216.198,209.62,216.198
198.042,213.687,207.493,213.687
198.334,214.002,208.146,214.002
200.241,216.06,210.452,216.06
206.063,222.343,217.205,222.343
221.02,238.482,233.413,238.482
242.354,261.5,256.028,261.5
255.285,275.454,268.282,275.454
243.583,262.827,255.925,262.827
233.476,251.921,245.375,251.921
225.567,243.388,235.714,243.388
219.705,237.063,229.263,237.063
217.303,234.471,226.41,234.471
215.193,232.194,224.06,232.194
213.701,230.583,222.447,230.583
214.161,231.08,223.063,231.08
219.712,237.07,229.512,237.07
231.921,250.244,242.809,250.244
231.328,249.604,242.824,249.604
229.04,247.134,240.466,247.134
223.008,240.626,233.967,240.626
211.04,227.712,220.921,227.712
195.921,211.399,204.757,211.399
182.667,197.099,190.501,197.099
175.888,189.783,183.188,189.783
171.536,185.088,178.789,185.088
172.315,185.929,179.619,185.929
172.816,186.469,180.57,186.469
179.626,193.817,187.994,193.817
192.324,207.517,201.717,207.517
212.45,229.233,222.525,229.233
221.625,239.134,231.944,239.134
222.981,240.597,233.119,240.597
222.67,240.261,232.764,240.261
218.7,235.977,228.69,235.977
214.786,231.755,224.606,231.755
209.152,225.676,218.779,225.676
206.813,223.152,215.896,223.152
201.911,217.862,210.948,217.862
203.142,219.19,212.239,219.19
204.425,220.575,214.08,220.575
223.449,241.101,234.57,241.101
226.495,244.389,238.186,244.389
224.455,242.188,236.139,242.188
222.199,239.753,233.629,239.753
219.707,237.064,230.932,237.064
214.387,231.325,225,231.325
203.499,219.576,213.798,219.576
200.934,216.809,211.123,216.809
201.023,216.904,211.372,216.904
203.162,219.213,213.898,219.213
205.295,221.514,216.512,221.514
209.226,225.756,220.851,225.756
218.189,235.426,230.427,235.426
227.57,245.548,240.579,245.548
238.063,256.871,252.219,256.871
249.163,268.848,263.386,268.848
249.333,269.031,262.751,269.031
247.928,267.515,262.032,267.515
233.141,251.559,246.045,251.559
224.306,242.026,236.091,242.026
215.695,232.736,226.864,232.736
209.602,226.161,220.386,226.161
206.396,222.702,217.034,222.702
213.966,230.87,225.267,230.87
234.972,253.535,247.91,253.535
238.141,256.955,251.354,256.955
234.443,252.964,247.763,252.964
232.792,251.183,247.243,251.183
228.725,246.794,242.766,246.794
220.293,237.697,233.542,237.697
209.244,225.775,221.939,225.775
205.313,221.533,217.959,221.533
203.518,219.597,216.345,219.597
204.187,220.318,217.149,220.318
205.461,221.693,218.768,221.693
207.487,223.879,221.202,223.879
216.223,233.305,230.36,233.305
223.892,241.579,238.745,241.579
234.414,252.933,250.652,252.933
241.591,260.677,258.136,260.677
236.128,254.783,251.31,254.783
224.439,242.171,238.096,242.171
217.381,234.555,229.893,234.555
210.072,226.669,221.827,226.669
197.368,212.961,208.017,212.961
191.926,207.088,202.047,207.088
195.699,211.159,205.747,211.159
202.38,218.369,213.556,218.369
216.858,233.991,228.976,233.991
216.813,233.941,229.455,233.941
215.612,232.645,227.739,232.645
212.029,228.779,223.84,228.779
202.188,218.161,213.068,218.161
189.604,204.584,199.275,204.584
176.568,190.518,185.357,190.518
172.232,185.838,180.551,185.838
167.728,180.979,175.885,180.979
170.236,183.684,178.558,183.684
173.249,186.936,181.919,186.936
180.028,194.251,189.585,194.251
193.881,209.199,204.587,209.199
217.494,234.677,229.83,234.677
227.523,245.498,239.97,245.498
212.849,229.665,224.079,229.665
204.694,220.865,214.49,220.865
198.982,214.701,207.57,214.701
191.375,206.494,199.143,206.494
188.383,203.266,195.405,203.266
183.757,198.275,190.124,198.275
180.524,194.786,186.771,194.786
181.12,195.429,187.653,195.429
186.221,200.932,193.518,200.932
200.104,215.912,208.829,215.912
205.037,221.236,214.639,221.236
202.185,218.157,211.888,218.157
196.678,212.215,205.874,212.215
186.987,201.76,195.431,201.76
173.94,187.682,181.384,187.682
158.304,170.81,164.905,170.81
155.018,167.264,161.222,167.264
151.912,163.913,158.193,163.913
154.115,166.291,160.655,166.291
155.924,168.242,162.958,168.242
165.699,178.79,173.44,178.79
180.692,194.968,189.621,194.968
205.429,221.658,215.69,221.658
219.206,236.523,229.553,236.523
207.756,224.17,216.709,224.17
197.02,212.584,204.921,212.584
188.143,203.007,195.355,203.007
183.85,198.374,190.356,198.374
184.035,198.575,190.123,198.575
182.128,196.516,187.847,196.516
180.182,194.417,185.676,194.417
179.825,194.032,185.612,194.032
188.777,203.691,195.433,203.691
209.154,225.678,217.439,225.678
213.976,230.88,223.831,230.88
213.036,229.867,223.151,229.867
211.45,228.156,221.329,228.156
200.814,216.679,209.919,216.679
189.29,204.244,197.407,204.244
177.267,191.271,184.605,191.271
172.681,186.324,179.719,186.324
172.012,185.602,179.108,185.602
171.548,185.1,178.791,185.1
173.644,187.363,181.196,187.363
181.979,196.355,190.285,196.355
193.281,208.55,202.983,208.55
217.969,235.188,229.187,235.188
231.836,250.151,243.289,250.151
218.467,235.726,228.813,235.726
210.855,227.512,220.333,227.512
205.052,221.251,214.232,221.251
201.199,217.095,209.903,217.095
197.54,213.146,206.012,213.146
193.504,208.792,201.43,208.792
191.699,206.844,199.343,206.844
195.059,210.469,203.011,210.469
202.171,218.142,211.143,218.142
218.764,236.046,229.069,236.046
221.652,239.163,232.784,239.163
219.817,237.183,230.993,237.183
218.422,235.678,229.151,235.678
203.161,219.212,212.904,219.212
190.169,205.192,198.757,205.192
176.144,190.06,183.854,190.06
170.828,184.323,178.019,184.323
169.147,182.51,176.383,182.51
168.779,182.112,175.978,182.112
171.765,185.334,179.218,185.334
176.983,190.965,184.967,190.965
190.552,205.605,199.518,205.605
211.297,227.989,221.624,227.989
227.981,245.992,238.534,245.992
225.554,243.373,235.402,243.373
222.112,239.659,231.485,239.659
213.954,230.856,222.525,230.856
209.089,225.607,217.083,225.607
204.12,220.245,211.769,220.245
208.164,224.609,215.44,224.609
196.978,212.539,204.191,212.539
199.468,215.226,207.073,215.226
208.222,224.672,217.223,224.672
229.234,247.343,239.662,247.343
240.171,259.145,251.552,259.145
239.558,258.484,251.171,258.484
238.897,257.77,250.536,257.77
232.342,250.697,243.227,250.697
223.095,240.721,233.053,240.721
209.723,226.292,218.976,226.292
206.354,222.657,215.404,222.657
209.454,226.002,218.555,226.002
209.611,226.171,218.923,226.171
212.565,229.358,222.317,229.358
221.218,238.694,231.666,238.694
235.008,253.574,246.872,253.574
256.642,276.918,269.86,276.918
270.013,291.344,283.156,291.344
260.22,280.777,272.81,280.777
251.73,271.618,262.995,271.618
245.073,264.435,255.437,264.435
236.109,254.762,245.74,254.762
231.217,249.483,240.163,249.483
220.432,237.846,228.896,237.846
217.41,234.586,225.528,234.586
213.283,230.132,221.373,230.132
217.044,234.19,226.076,234.19
236.399,255.075,246.915,255.075
242.525,261.686,253.881,261.686
238.244,257.065,249.725,257.065
235.769,254.395,246.86,254.395
229.697,247.843,240.569,247.843
218.404,235.658,228.638,235.658
205.156,221.363,214.691,221.363
199.779,215.562,208.964,215.562
195.572,211.023,204.666,211.023
193.709,209.013,202.871,209.013
193.675,208.975,203.07,208.975
197.932,213.569,207.684,213.569
201.909,217.861,212.081,217.861
209.757,226.329,220.798,226.329
220.814,238.259,232.792,238.259
226.938,244.866,239.127,244.866
226.53,244.426,238.281,244.426
221.636,239.146,232.622,239.146
213.147,229.986,223.328,229.986
204.992,221.186,214.582,221.186
197.36,212.952,206.514,212.952
193.278,208.548,202.031,208.548
195.397,210.834,204.293,210.834
200.442,216.277,209.958,216.277
212.32,229.094,222.526,229.094
210.256,226.867,220.684,226.867
205.101,221.304,215.091,221.304
200.258,216.078,209.763,216.078
191.72,206.867,200.674,206.867
181.082,195.387,189.517,195.387
168.281,181.575,175.962,181.575
158.042,170.527,165.29,170.527
156.237,168.581,163.383,168.581
154.163,166.343,161.232,166.343
152.286,164.316,159.406,164.316
152.802,164.873,160.015,164.873
157.018,169.422,164.431,169.422
161.624,174.392,169.365,174.392
170.876,184.376,179.543,184.376
184.202,198.755,194.191,198.755
193.605,208.9,204.324,208.9
194.449,209.811,204.737,209.811
191.547,206.679,201.581,206.679
188.115,202.976,198.055,202.976
184.576,199.158,194.262,199.158
183.671,198.181,193.085,198.181
182.052,196.435,191.534,196.435
188.243,203.114,198.034,203.114
198.903,214.616,209.25,214.616
200.656,216.509,211.379,216.509
197.642,213.256,208.224,213.256
197.677,213.293,207.768,213.293
193.43,208.711,202.864,208.711
188.402,203.287,197.158,203.287
178.956,193.094,187.03,193.094
176.894,190.87,184.516,190.87
176.672,190.63,184.259,190.63
178.82,192.948,186.678,192.948
180.994,195.293,189.151,195.293
191.173,206.276,199.835,206.276
204.558,220.718,213.896,220.718
221.456,238.952,231.799,238.952
236.065,254.714,247.184,254.714
238.182,256.998,249.372,256.998
237.494,256.257,248.22,256.257
236.154,254.81,246.386,254.81
229.194,247.301,238.814,247.301
224.457,242.189,233.478,242.189
216.907,234.043,225.428,234.043
214.655,231.614,222.899,231.614
214.178,231.099,222.452,231.099
223.196,240.829,232.536,240.829
245.063,264.423,256.332,264.423
250.026,269.779,262.434,269.779
250.877,270.697,263.545,270.697
243.813,263.074,255.795,263.074
232.411,250.772,243.699,250.772
223.229,240.865,233.656,240.865
209.554,226.109,219.065,226.109
202.489,218.486,211.695,218.486
201.243,217.142,210.588,217.142
199.931,215.725,209.371,215.725
202.575,218.578,212.226,218.578
208.204,224.652,218.394,224.652
223.823,241.506,235.138,241.506
244.185,263.476,256.881,263.476
257.559,277.907,269.521,277.907
249.663,269.387,261.386,269.387
242.109,261.236,252.658,261.236
233.019,251.428,242.667,251.428
229.84,247.998,238.887,247.998
220.717,238.154,229.246,238.154
217.14,234.294,225.355,234.294
213.346,230.2,221.307,230.2
207.796,224.212,216.074,224.212
215.828,232.878,225.084,232.878
240.865,259.893,251.957,259.893
247.977,267.568,260.292,267.568
248.816,268.473,261.526,268.473
244.028,263.306,256.193,263.306
235.441,254.041,246.96,254.041
222.396,239.966,232.986,239.966
209.52,226.073,219.384,226.073
205.78,222.037,215.457,222.037
206.547,222.864,216.236,222.864
206.658,222.984,216.711,222.984
211.235,227.924,221.697,227.924
217.596,234.786,228.947,234.786
231.747,250.056,244.202,250.056
254.653,274.772,268.57,274.772
266.25,287.284,279.503,287.284
251.301,271.155,263.939,271.155
238.597,257.446,249.707,257.446
232.822,251.216,242.716,251.216
224.888,242.654,234.396,242.654
218.018,235.242,227.306,235.242
219.342,236.67,228.223,236.67
215.922,232.98,224.792,232.98
211.734,228.462,220.928,228.462
216.52,233.625,226.389,233.625
231.561,249.854,242.707,249.854
237.518,256.283,249.884,256.283
239.761,258.702,252.324,258.702
235.359,253.953,247.447,253.953
226.391,244.276,237.817,244.276
215.951,233.011,226.498,233.011
200.667,216.52,210.53,216.52
196.272,211.778,206.002,211.778
192.516,207.726,202.348,207.726
189.644,204.626,199.321,204.626
190.874,205.954,200.846,205.954
195.243,210.667,205.835,210.667
205.743,221.998,217.313,221.998
225.606,243.429,238.411,243.429
233.029,251.438,245.55,251.438
220.901,238.352,231.86,238.352
216.91,234.047,226.433,234.047
216.124,233.198,225.16,233.198
211.126,227.805,219.791,227.805
205.357,221.58,213.501,221.58
198.347,214.017,205.939,214.017
191.257,206.367,198.576,206.367
188.834,203.752,195.898,203.752
197.168,212.745,205.038,212.745
215.295,232.303,224.726,232.303
225.693,243.524,236.054,243.524
224.144,241.851,234.83,241.851
226.873,244.797,237.282,244.797
217.913,235.129,227.707,235.129
207.146,223.51,216.159,223.51
195.452,210.894,203.89,210.894
196.241,211.744,204.467,211.744
198.768,214.471,207.232,214.471
200.973,216.851,209.741,216.851
203.867,219.972,213.117,219.972
214.756,231.723,224.884,231.723
228.566,246.624,239.984,246.624
252.791,272.762,265.756,272.762
267.592,288.733,280.769,288.733
256.798,277.086,268.752,277.086
250.212,269.979,260.933,269.979
240.958,259.994,250.841,259.994
234.45,252.971,243.662,252.971
226.512,244.406,235.294,244.406
222.209,239.763,230.485,239.763
213.014,229.842,220.983,229.842
209.151,225.675,217.411,225.675
215.4,232.418,224.398,232.418
233.94,252.421,244.437,252.421
236.931,255.65,248.257,255.65
233.154,251.573,244.443,251.573
227.141,245.086,238.204,245.086
222.977,240.593,233.38,240.593
211.991,228.739,221.613,228.739
199.995,215.794,209.098,215.794
195.827,211.297,204.582,211.297
193.051,208.303,201.681,208.303
190.528,205.58,199.173,205.58
189.698,204.685,198.41,204.685
192.531,207.741,201.43,207.741
197.491,213.094,206.798,213.094
207.406,223.791,217.33,223.791
216.859,233.992,227.944,233.992
225.866,243.71,237.846,243.71
228.857,246.938,240.72,246.938
227.078,245.018,238.223,245.018
219.094,236.402,229.152,236.402
212.395,229.175,222.63,229.175
210.825,227.48,220.78,227.48
202.967,219.002,212.858,219.002
201.233,217.13,211.179,217.13
205.248,221.462,215.307,221.462
222.297,239.858,233.323,239.858
231.53,249.821,243.546,249.821
228.306,246.342,240.331,246.342
224.556,242.297,236.432,242.297
219.008,236.31,230.567,236.31
212.56,229.352,223.548,229.352
200.791,216.653,211.179,216.653
197.76,213.383,207.75,213.383
199.509,215.27,209.51,215.27
201.086,216.973,211.239,216.973
202.596,218.601,213.046,218.601
207.945,224.374,218.805,224.374
215.073,232.065,226.394,232.065
223.111,240.738,235.24,240.738
239.131,258.023,252.396,258.023
243.501,262.738,257.903,262.738
242.877,262.065,257.317,262.065
240.961,259.997,254.663,259.997
232.299,250.652,245.474,250.652
225.743,243.578,238.399,243.578
221.604,239.112,234.009,239.112
221.712,239.227,233.904,239.227
220.93,238.383,232.997,238.383
225.754,243.588,238.368,243.588
238.327,257.155,251.654,257.155
244.542,263.861,257.819,263.861
243.367,262.594,256.596,262.594
235.648,254.265,249.686,254.265
227.901,245.905,240.573,245.905
217.404,234.58,229.025,234.58
205.421,221.65,216.366,221.65
201.906,217.857,212.285,217.857
202.041,218.002,212.399,218.002
201.697,217.632,212.064,217.632
202.293,218.274,212.726,218.274
206.324,222.624,216.991,222.624
214.143,231.06,225.437,231.06
226.094,243.956,237.79,243.956
234.377,252.894,246.497,252.894
242.321,261.464,255.467,261.464
247.298,266.835,260.698,266.835
247.573,267.131,261.023,267.131
246.46,265.93,259.408,265.93
241.374,260.443,254.004,260.443
238.284,257.109,250.517,257.109
237.049,255.776,249.099,255.776
234.915,253.474,247.14,253.474
239.926,258.881,252.432,258.881
250.367,270.146,263.625,270.146
252.722,272.688,265.788,272.688
243.051,262.253,255.706,262.253
236.077,254.728,249.625,254.728
223.206,240.84,235.009,240.84
209.642,226.205,220.201,226.205
200.722,216.579,210.488,216.579
196.578,212.108,205.946,212.108
194.413,209.773,203.789,209.773
194.091,209.425,203.429,209.425
195.93,211.409,205.468,211.409
199.633,215.404,209.459,215.404
208.817,225.313,219.333,225.313
222.79,240.39,233.668,240.39
231.096,249.354,242.559,249.354
235.435,254.034,247.201,254.034
239.398,258.31,251.145,258.31
236.498,255.181,248.203,255.181
236.047,254.696,247.34,254.696
233.951,252.434,244.866,252.434
228.635,246.698,239.336,246.698
228.403,246.448,239.022,246.448
225.948,243.799,236.581,243.799
230.105,248.284,241.37,248.284
239.471,258.389,251.382,258.389
240.73,259.749,253.022,259.749
234.26,252.768,246.078,252.768
223.325,240.969,234.383,240.969
216.869,234.002,227.535,234.002
204.282,220.421,213.984,220.421
192.476,207.683,201.391,207.683
190.474,205.521,198.996,205.521
190.046,205.061,198.679,205.061
189.186,204.132,197.9,204.132
193.944,209.267,202.938,209.267
200.639,216.49,210.146,216.49
209.423,225.968,219.653,225.968
224.156,241.864,235.355,241.864
235.997,254.642,247.769,254.642
237.96,256.76,249.508,256.76
234.247,252.753,244.861,252.753
229.009,247.101,239.065,247.101
223.77,241.448,233.051,241.448
224.328,242.05,233.296,242.05
219.81,237.176,228.148,237.176
213.602,230.478,221.523,230.478
210.362,226.982,218.516,226.982
215.089,232.081,223.885,232.081
230.951,249.196,241.691,249.196
242.242,261.379,254.049,261.379
240.051,259.016,251.865,259.016
229.565,247.702,240.727,247.702
221.643,239.153,232.271,239.153
206.269,222.565,215.935,222.565
194.111,209.447,203.105,209.447
190.793,205.866,199.517,205.866
190.001,205.011,198.885,205.011
187.426,202.234,196.59,202.234
188.957,203.884,198.373,203.884
195.337,210.768,205.579,210.768
206.49,222.803,217.671,222.803
221.772,239.293,233.871,239.293
232.576,250.951,245.422,250.951
228.898,246.982,241.125,246.982
217.232,234.393,227.811,234.393
210.468,227.096,219.734,227.096
202.677,218.688,211.002,218.688
198.676,214.372,206.435,214.372
195.905,211.382,203.263,211.382
190.656,205.719,197.829,205.719
190.093,205.11,197.276,205.11
195.128,210.543,202.864,210.543
213.974,230.878,223.303,230.878
224.161,241.87,234.608,241.87
221.789,239.311,232.231,239.311
218.892,236.184,228.912,236.184
207.92,224.347,217.408,224.347
197.492,213.094,206.047,213.094
182.794,197.236,190.441,197.236
180.077,194.303,187.265,194.303
179.508,193.689,186.657,193.689
178.487,192.587,185.845,192.587
181.213,195.529,188.971,195.529
187.893,202.736,196.202,202.736
202.303,218.286,211.471,218.286
222.501,240.079,232.444,240.079
234.238,252.744,245.194,252.744
235.422,254.02,246.391,254.02
226.72,244.632,237.062,244.632
215.436,232.456,224.856,232.456
209.596,226.155,218.386,226.155
208.07,224.508,216.731,224.508
206.35,222.653,214.351,222.653
204.72,220.894,212.465,220.894
205.122,221.327,213.107,221.327
210.162,226.765,218.993,226.765
230.842,249.078,241.109,249.078
239.031,257.915,250.525,257.915
237.305,256.053,248.941,256.053
237.869,256.661,249.319,256.661
233.318,251.751,244.583,251.751
225.255,243.05,236.075,243.05
217.026,234.172,227.261,234.172
213.826,230.718,223.841,230.718
216.042,233.11,226.188,233.11
217.248,234.411,227.586,234.411
218.963,236.262,229.552,236.262
224.464,242.197,235.62,242.197
227.388,245.353,239.056,245.353
236.379,255.053,248.867,255.053
246.065,265.505,259.919,265.505
250.742,270.552,264.44,270.552
244.884,264.231,257.464,264.231
236.115,254.768,247.678,254.768
224.895,242.663,235.462,242.663
218.09,235.32,227.915,235.32
210.068,226.663,219.382,226.663
201.877,217.825,210.631,217.825
197.997,213.639,206.612,213.639
198.884,214.596,207.909,214.596
213.033,229.864,223.158,229.864
225.232,243.025,236.334,243.025
224.163,241.872,235.473,241.872
221.909,239.44,233.288,239.44
215.716,232.757,226.876,232.757
210.39,227.012,221.126,227.012
199.639,215.41,209.996,215.41
196.94,212.499,207.165,212.499
196.968,212.529,207.251,212.529
197.561,213.168,208.275,213.168
199.497,215.257,210.481,215.257
203.042,219.082,214.519,219.082
210.412,227.036,222.394,227.036
217.299,234.467,230.005,234.467
230.216,248.403,244.243,248.403
234.36,252.875,248.661,252.875
225.901,243.748,239.04,243.748
214.673,231.633,226.224,231.633
205.719,221.971,216.215,221.971
196.233,211.735,206.204,211.735
187.308,202.106,196.49,202.106
181.825,196.189,190.577,196.189
178.98,193.12,187.63,193.12
181.198,195.514,190.3,195.514
199.537,215.301,209.754,215.301
207.84,224.26,218.791,224.26
208.56,225.037,219.459,225.037
210.019,226.61,220.968,226.61
209.525,226.077,220.187,226.077
202.779,218.798,212.923,218.798
196.611,212.143,206.247,212.143
193.247,208.513,202.675,208.513
193.146,208.405,202.621,208.405
196.69,212.228,206.648,212.228
201.966,217.921,212.376,217.921
210.968,227.635,222.324,227.635
228.097,246.118,240.575,246.118
253.514,273.542,267.497,273.542
263.383,284.191,277.175,284.191
247.287,266.823,260.422,266.823
232.427,250.79,243.449,250.79
221.046,238.509,230.384,238.509
213.94,230.841,222.36,230.841
205.3,221.519,213.014,221.519
201.672,217.605,209.026,217.605
199.82,215.607,207.013,215.607
195.699,211.16,203.095,211.16
202.611,218.618,210.743,218.618
216.643,233.758,226.238,233.758
227.605,245.586,238.578,245.586
224.628,242.374,235.711,242.374
220.676,238.11,231.243,238.11
208.882,225.384,218.598,225.384
197.945,213.584,206.756,213.584
184.608,199.192,192.678,199.192
180.932,195.225,188.673,195.225
177.733,191.775,185.301,191.775
176.074,189.984,183.662,189.984
177.504,191.527,185.327,191.527
183.282,197.761,191.606,197.761
196.014,211.5,205.093,211.5
208.501,224.973,218.238,224.973
215.843,232.896,225.897,232.896
220.123,237.514,230.386,237.514
223.914,241.603,234.509,241.603
223.92,241.61,234.386,241.61
221.897,239.428,232.1,239.428
219.49,236.831,229.122,236.831
208.364,224.825,217.283,224.825
201.108,216.996,209.263,216.996
194.989,210.393,203.043,210.393
197.847,213.477,206.114,213.477
210.144,226.745,219.874,226.745
218.77,236.054,229.605,236.054
216.145,233.22,227.018,233.22
208.152,224.597,218.383,224.597
195.492,210.937,205.037,210.937
182.204,196.599,190.634,196.599
169.432,182.817,176.924,182.817
167.654,180.899,174.707,180.899
166.893,180.077,173.865,180.077
166.107,179.23,173.048,179.23
165.86,178.963,173.099,178.963
172.348,185.963,180.237,185.963
185.849,200.531,194.593,200.531
203.812,219.914,213.459,219.914
216.48,233.583,226.622,233.583
216.997,234.141,226.536,234.141
207.172,223.539,215.252,223.539
196.325,211.835,203.468,211.835
191.822,206.977,198.573,206.977
186.856,201.618,193.203,201.618
180.768,195.05,186.728,195.05
178.469,192.569,184.322,192.569
177.557,191.584,183.443,191.584
181.503,195.843,188.153,195.843
196.34,211.851,204.76,211.851
213.537,230.406,223.516,230.406
212.555,229.348,222.768,229.348
210.88,227.539,220.895,227.539
203.163,219.214,212.667,219.214
192.782,208.013,201.659,208.013
184.268,198.826,192.501,198.826
180.719,194.996,188.67,194.996
180.202,194.439,188.348,194.439
183.192,197.664,191.645,197.664
184.238,198.794,193.243,198.794
191.411,206.533,201.233,206.533
205.027,221.225,215.931,221.225
230.108,248.286,242.547,248.286
235.284,253.871,247.743,253.871
223.892,241.579,234.761,241.579
221.485,238.983,231.523,238.983
216.313,233.402,225.854,233.402
211.899,228.639,220.654,228.639
207.189,223.557,215.47,223.557
201.026,216.907,209.252,216.907
200.448,216.284,208.558,216.284
200.932,216.806,209.341,216.806
205.369,221.594,214.499,221.594
214.164,231.083,224.31,231.083
225.624,243.448,236.668,243.448
221.676,239.189,232.838,239.189
216.994,234.137,227.502,234.137
207.684,224.091,217.296,224.091
196.64,212.174,205.551,212.174
182.759,197.198,190.839,197.198
180.819,195.104,188.502,195.104
178.192,192.269,185.753,192.269
177.728,191.768,185.376,191.768
175.176,189.015,182.86,189.015
179.541,193.726,187.728,193.726
190.084,205.1,198.918,205.1
201.125,217.015,210.47,217.015
209.718,226.286,219.667,226.286
